prompt_short,count
Human activities have negative effects on plants and animals species. Some people think that is too late to do anything ,3
Many people use social media on regular basis in order to keep in touch with the news and with other people.Do you think,3
some people believe that experience children have before they go to school will have the greatest effect. other argue th,3
"Many people, especially young children, watch too much television. Some experts think that this can be dangerous, and th",3
Men and women are different in terms of their characteristics and abilities. For this reason some job are better done by,3
People nowadays tend to have children in older ages. do the advantages of this oyutweigh the disadvantages?,3
Some people believe that advertising has a strong effect on a person’s decision-making process. Others feel that it has ,3
Pollution and other environmental damages are caused by a country developing and becoming richer. This problem cannot be,3
Some people think that the most important thing about being rich is it gives a person the opportunity to help other peop,3
"In many countries, more and more young people are leaving school and unable to find jobs after graduation. Give reasons ",3
Only government action can solve the housing shortage in big cities. To what extent do you agree or disagree?,3
"Nowadays celebrities are more famous for their glamour and wealth than for their acheivements, and this sets a bad examp",3
"Interview forms the basic selection criteria for most large companies. However, some people think that interview is not ",3
Human activities have negative effects on the plant and animal species. Some people think it is too late to do anything ,3
"Directors of organizations receive higher salaries than the ordinary worker, some people think it is necessary while oth",3
"If a product is good or it meets people's needs, people will buy it. So advertising is unnecessary and no more than ente",3
Newspapers ahve influenced people's ideas and opinions. What are the reasons for this? Is this a positive or a negative ,3
"Some people think that the government should ensure the healthy lifestyle of people, but others argue that it should be ",3
Some people think that the best way to solve environmental problem is to increase the cost of fuel. To what extent do yo,3
SOME PEOPLE BELIEVE THAT EVENTUALLY ALL JOBS WILL BE DONE BY ARTIFICIALLY INTELLIGENT ROBOTS. WHAT IS YOUR OPINION?,3
"In many countries, more and more young people are leaving school and unable to find job after graduation. What peoblem d",3
Fewer young people choose to work in farming. What are the reasons? Should young people be encouraged to do farming work,3
"Interview form the basic selection criteria for most large companies. However, some people think that interview is not a",3
Many people argue that in order to improve educational quality high school students should be encouraged to question and,3
Many university graduates cannot find a job in their chosen profession.What factor may have caused this situation and wh,3
"Some people believe that studying at university or college is the best route to a a successful career, while others beli",3
Some people think that art is an essential subject for children at school while other thing it is a waste of time discus,3
"Some people think that providing many TV channels is a great thing, but others think that this may affect the quality of",3
Write about the following topic.Most people have forgotten the meaning behind traditional or religious festivals; during,3
One of the consequences of improved technology is that many jobs that used to be done by people can now be completed by ,3
Some countries have an ever-increasing proportion of the population who are aged 15 and younger. What is your opinion of,3
The world has many towns and cities constructed in previous centuries that were more suitable and livable for people in ,3
"Some people think the news has no connection to people’s lives, so it is a waste of time to read the news in the newspap",3
Some people think that the government should increase the cost of fuel for cars and other vehicles in order to solve env,3
Some of the people believe that video games are useful for children while others say these games have harmful effects. D,3
Some people believe that they should be able to keep all the money they earn and should not have to pay tax to the state,3
Some people think that the only way to improve safety on our roads is to give much stricter punishments on driving offen,3
Some people believe that the main purpose of schools is to turn children into good citizens and workers instead of benef,3
"Some people think that governments should ban dangerous sports, while others think people should have freedom to do any ",3
"SOme believe that many countries, the investment of public money in arts can be justified. Other think that the governme",3
Some people say that to prevent illness and diseases government should focus more on reducing environmental pollution an,3
Write about the following topic.Many parents today organise extra classes for their children after school and at the wee,3
"3. Nowadays, more and more people decide to have children later in their life. What do you think are the reasons for thi",3
Many countries spend large amounts of money on preparing competitors in major world sporting events such as the Olympic ,3
Some people think that art is an essential subject for children at school while others think it is a wast of time. Discu,3
Write about the following topic.Cohabitation is believed to bring huge advantages for young people since it enables them,3
Some people feel that the design of newly constructed buildings in big cities should be controlled by governments. Other,3
"Some people feel that entertainers such as film stars, pop musicians or sports stars are paid too much money.Do you agre",3
It is generally observed that almost all high level jobs are done by men.Does it mean that the government should encoura,3
Some people think that holding olympic Games has positive effects for a host country while others believe that it has a ,3
Men do most of the high level jobs are done by men. Should the government encourage a certain percentage of these jobs t,3
Many countries are spending a huge amount of money on supporting their competitors to take part in some worldwide compet,3
"Some people think that museum should be enjoyable places to entertain people, while others believe that the purpose of m",3
Many university students cannot find a job in their chosen profession. What factors may have caused this situation and w,3
some people think that art is an essential subject for children at school while others think it is a wast of time. discu,3
"Some people think that robots are very important for humans' future development. Others, however, think that robots are ",3
Write about the following topic.Some organisations believe that their employees should dress smartly. Others value quali,3
"Traffic and housing problems could be solved by moving large companies, factories and their employees to the countryside",3
Some people say that playing computer games is bad for children in every aspects. Others say that playing computer games,3
"While some people think that art is an important subject for children to study, others think it is a waste of time. Disc",3
More people decided to have children in their later age than in the past. Why? Do advantages outweigh the disadvantages.,3
Write about the following topic.Young people in the modern world seem to have more power and influence than any previous,3
Nowadays people have cosmetic surgery to improve life. Why do many more people choose these operations? Do you think thi,3
"Nowadays, more and more people decide to have children later in their life. What are the the reasons? Do advantages of t",3
Some people believe that teenagers should be required to do unpaid community work in their free time . This can benefit ,3
"in some countries, more and more people are becoming intrested in finding out about the history of the house or building",3
Many jobs that are done by people are now done by machines and computers. Some people that this is a positive developmen,3
"Interviews form the basic selecting criteria for most large companies. However, some people think that the interview is ",3
Some people think that teenagers should be required to do unpaid community work in their free time. They believe this wo,3
"Although families have influence on a children’s development, factors outside the home play a bigger part in their lives",3
people think that government should increase the cost of fuel for cars and other vehicles to solve environmental problem,3
People nowadays tend to have children at older ages. Do the advantage of this outweigh the disadvantages.,3
Individuals can do nothing to improve the environment; only governments and large companies can make a difference. To wh,3
"Some people think museums should be enjoyable places to attract and entertain young people, while others think the purpo",3
Many people feel that all teenagers should have to do unpaid work during their free time to help the local community and,3
many universities professional cannot find the jobs in their choosen profession.what factors may have cause this situati,3
"Some people say that fashion affects our lives in a negative way. However, others say that it has more positive effects ",3
"In today's world, many people argue that it is essential to address environmental issues, while others believe that the ",3
Some people believe that planing for the future is a waste of time because they think that focusing on the present is mo,3
Some people believe that the best way to produce responsible citizens is to teach discipline and obedience in schools. O,3
"New technology has resulted in many jobs, which used to be performed by people, now being done by computers or robots. D",3
Today family members do not eat meals together. Why does this happen? Is this a positive or negative developmentGive rea,3
Write about the following topic.Some people believe women are better leaders than men. To what extent do you agree or di,3
Some people think that for robots are very important to you human future development. other think that they are dangerou,3
"Some people believe that competitive sports, both team and individual, have no place in the school curriculum and should",3
"Write about the following topic.Nowadays, sports is a big business with high earnings for professional sports people and",3
"Some people believe that watching TV is bad for children, while others claim it has positive effects for children as the",3
Some people believe that eventually all jobs will be done by artificially inetligent robots. What is your opinion?,3
Some people believe that climate has the greatest effect on people ‘s way of life. Others believe that the economy of th,3
"In many countries, the government likes to spend more money on arts. However, others think government should spend more ",3
Some people believe that eventually all jobs will be done by artificially intelligent robots. What is your opinion ?,3
newspapers have a significant influence on people's ideas and opinions. Why is this happening? Is it a positive or a neg,3
Some people think that the main purpose of school is to turn children into good citizens and trainees rather than to ben,3
Some people believe that eventually all jobs will be done by artificially intelligent robots. What is your opinions?,3
Some people believe that eventually all the jobs will be done by artificial intelligence. What is your opinion?,3
"Write about the following topic.In many countries, a small number of people earn extremely high salaries. Some people be",3
"Some people think that it is more beneficial to take part in sports which are played in teams, like football, while othe",3
It is the responsibility of schools to teach children good behavior in addition to provide formal education. To what ext,3
"Interviews form the basic selecting criteria for most large companies. However, some people think that interview is not ",3
"The unlimited uses of cars may cause many problems. What are those problems? In order to reduce this problem, should we ",3
"In many countries, the age at which people can retire is being raised. Some people argue that this is a necessary measur",3
"Some people think that it is important to use leisure time for activities that improve the mind, such as reading and doi",3
Some people believe that the goverment sholud take care of old people and provide financial support after they retire. O,3
Individuals can do nothing to improve the environment; only governments and large companies can make a difference.To wha,3
"In many countries, owning a home has become increasingly difficult for young adults, as housing prices continue to rise.",3
Write about the following topic.An increasing number of people are choosing to have cosmetic surgery in order to improve,3
Machines have taken over domestic jobs that used to be done by hand. What are the advantages and disadvantage of this? G,3
"Some people think that technology makes life complex, so we should make our life simpler without using the technology. T",3
Some people believe that climate change has the greatest effect on people’s way of life. Others believe the economy of t,3
Some people think that illegal internet download are having a negative effect on the music industry. Others feel that th,3
People nowadays tend to have children at older ages. Do the advantages of this outweigh the disadvantages,3
"Some people say that the best way to improv public health by increasing sports facility, others however say that they wo",3
THE ONLY WAY TO IMPROVE ROAD SAFETY IS TO GIVE MUCH STRICTER PUNISHMENTS ON DRIVING OFFENCES. TO WHAT EXTENT DO YOU AGRE,3
The number of TV programs is growing day by day .some people say that it is good as it is gives people more choices whil,3
"Some people believe that competitive sports have a positive effect on children’s education, while others believe there i",3
Some people think that children should study in school the subject of science of food and how to prepare it properly. Ot,3
Many people use social media every day to keep in touch with friends and get social news. Do you think the advantages of,3
Consumers are faced with increasing number of advertisements from competing companies. To what extent do you think are c,3
some people believe that eventually all jobs will be done by artificially intelligence robots. what is your opinion?,3
One of the consequences of improved technology is that many jobs that used to be done by people can now be complete by r,3
Some people believe that what children watch in television influence on children's behaviour. Others say that amount of ,3
"Today, the high sales of popular consumer goods reflect the power of advertising and not the real needs of the society i",3
The only way to improve safety of our roads is to give much stricter punishments on driving offenses. To what extent do ,3
"2 The education of young people is highly prioritized in many countries. However, educating adults who cannot write or r",2
Many young people leave school with negative attitudes towards learning. What are the causes？How to encourage young peop,2
"Some people think that art is an essential subject for children at school, while others think it is a waste of time. Dic",2
Some people think governments should increase the cost of fuel for cars and other vehicles in order to solve environment,2
"some people think that instead of preventing climate change, we need to find a way to live with it. To what extent do yo",2
"In some countries, more and more people are becoming intersted in finding out about the history of the house or building",2
Some people believe that eventually all jobs will be done by artificially intelligent robots. Whats your opinion?,2
"In some countries, many people continue to live with or very near their parents even when they are married and have thei",2
Some people believe that eventually all jobs will be done by artificially intelligent robots.,2
Some people believe that teaching children at home is the best for a children's development while others think it is imp,2
Nowadays people waste a lot of food that was bought from shops and restaurants. Why do you think people waste food? What,2
"Some people think that zoos are cruel and should be closed down. Others, however, believe that zoos can be useful in pro",2
in today's world many people own a smartphone. Do you think the advantages of owning a smartphone outweigh the disadvant,2
Some children spend hours every day on their smartphones. Why is this the case? Do you think this is a positive or a neg,2
"An increasing number of professionals, such as doctors and teachers, are leaving their own poorer countries to work in d",2
"Some believe that in many countries, the investment of public money in arts can be justified. Others think that the gove",2
"In some cities and towns all over the world, the high volume of traffic is a problem. What are the causes of this? What ",2
"In many countries, imprisonment is the most common solution to crimes. However, some people believe that better educatio",2
"In some countries, more and more people are becoming interested inf inding out about the history of the house or buildin",2
"In many countries, government spent large sum of money on the arts, and this is supported by some taxpayers as both why.",2
"Many jobs used to be done at home by hand, but now a days an increasing number of them are done using machines instead. ",2
It is important for all towns and cities to have large public spaces such as squares and parks. To what extent do you ag,2
The growing number of overweight people is putting a strain on the healthcare system in an effort to deal with the healt,2
Write about the following topic.Some teachers think that international student exchange would be beneficial for all teen,2
Several languages are in danger of extinction because they are spoken by very small numbers of people. Some people say t,2
Nowadays the way many people interact with each other has changed because of technology. In what ways has technology aff,2
"In many countries, people are choosing to live a healthier lifestyle by eating organic food products. However, organic f",2
Some people think that art is an essential subject for children at school while others it is a waste of time. Discuss bo,2
Some people belie that eventually all jobs will be done by artificially intelligent robots. What is your opinions?,2
Studies show that criminals get low level of education. Some people believe that the best way to reduce the crime is edu,2
Some people think the best way to solve global environmental problem is to increase the cost of fuel. To what extent do ,2
"some people think that instead of preventing climate change, we need to find a way to live with it. to what extent do yo",2
The percentage of overweight children in western society has increased by almost 20% in the last ten years. Discuss the ,2
Parents often give children everything they ask for and do what they like. Is it good for children? What are the consequ,2
"Some people today believe that it is acceptable to use physical force to discipline children, but others feel it is comp",2
some people think that robots are very important to human future development. others think that they are dangerous and h,2
"Interviews form the basic selecting criteria for must large companies. However, some people think that interview is not ",2
Newspapers have a significant influence on people’s ideas and opinions. Why is this happening? is it a positive or negat,2
"In some countries, more and more people are becoming in interested in finding out about the history of the house or buil",2
People think that goverments should increase the cost of fuel for cars and other vehicles to solve envinronmental proble,2
The range of technology available to people is increasing the gap between the rich and the poor. Others think it has the,2
People nowadays tend to have children at older age. Do the advantage of this outweigh the disadvantage.,2
The typical teaching situation of the teacher and students in the class will not exist by the year 2050. Do you agree/ d,2
"As well as making money, businesses also have social resonsibilities, To what extent do you agree or disagree?",2
"In the future, nobody will buy printed newspapers or books because they will be able to read everything they want online",2
Present a written argument or case to an educated non-specialist audience on the following topic:Under British and Austr,2
Museums and art galleries should concentrate on works that show history and culture of their own country rather than wor,2
Some people believe the range of technology available to individuals today is increasing the gap between poor people and,2
"Schools should focus on academic success and passing examinations. Skill such as cookery, dressmaking and woodwork shoul",2
*Some people believe that eventually all jobs will be done done by artificially intelligent robots..What is your opinion,2
"Some people believe that studying at university or college is the best route to a successful career, while the other bel",2
Some people think that art is an essential subject for children at school while others think it is a waste of time. Do y,2
Some people think the government should increase the cost of fuel for cars and others vehicles to solve environmental pr,2
"In many countries, the use of prison sentences as a punishment is seen as an increasingly ineffective method for reducin",2
"Some people believe that the government should prioritize investments in public services, such as education and healthca",2
"Rich countries often give money to poorer countries, but it does not solve poverty. Therefore, developed countries shoul",2
"in many countries, the government likes to spend more money on the arts. Some people agree with it. However, others thin",2
"as well as making money, businesses also have social responsibilities. To what extent do you agree or disagree?",2
1.Some school leavers travel or work for a period of time instead of going directly to university. What are the advantag,2
In many countries today parents are able to send their children to single sex school. Some people think that this have d,2
Some people say advertising has positive economic effects. Others think it has negative social effects because it will m,2
"Some people belive that robots are very important to human’s future development, whilw others believe they are dangerous",2
"Although families have influence on children’s development, factors outside the home play a bigger part in their lives n",2
"Some people think that robots are very important for human’s future development. Others, however, think that robots are ",2
"As major cities in the world are growing today, so do their problems. What are problems for young people who are living ",2
"Today, people are surrounded by advertising. This affects what people think is important and has a negative impact on pe",2
Some people think that all teenagers should be required to do unpaid work in their free time to help the community. They,2
"Some people believe that studying at university or college is the best route to successful career, while other believe t",2
Some people believe that eventually all jobs will be done by artificially intelligent robots What is your opinion?,2
Human activities have a negative effect on plant and animal species. Some people think it is too late to do anything abo,2
"TASK 2: Some people think the money spent on developing technology for space exploration is not justified. However, ther",2
"Nowdays , more and more people decide to have children at a later age . what do you think that are the major reason for ",2
Many people use social media every day to get in touch with other people and obtain the news. Do you think the advantage,2
some people believe the range of technology available to individuals today is increasing the gap between poor and rich p,2
Most of the urgent problems can only be solved with international cooperation. To what extent do you agree or disagree？,2
"The Best way to reduce poverty in developing countries is by giving up to six years of free education, so that they can ",2
"Some people feel that robots are very important to humans’ future development, while others think they are dangerous and",2
It is more important to spend public money promoting a healthy lifestyle in order to prevent illness than to spent it on,2
"In some parts of the world, it is increasingly popular to research the history of one’s own family. Why do people want t",2
SOME PEOPLE BELIEVE THAT EVENTUALLY ALL JOBS WILL BE DONE BY ARTIFICIALLY INTELLIGENT ROBOTS. WHAT IS YOUR OPINION,2
Some people use social media to keep in touch with other people and news events. Which are the advantages and disadvanta,2
Some people think that art is an essential subject for children while others think that is is a waste of time. Discuss b,2
Consumers are faced with increasing number of advertisements from competing companies. To what extent do you think consu,2
"In some countries, owning a home rather than renting one is very important for people. Why might this be the case? Do yo",2
"Some people believe that they should be able to keep all the money they earn and, should not have to pay tax to the stat",2
Some people say that what children is their behaviour. other leave the amount of time they spend on television influence,2
"In some countries the unemployment rate is high, so some people think that children should only go to primary school, no",2
"The education of young people is highly prioritised in many countries. However, educating adults who cannot write and re",2
the best way to solve the world's environmental problems is increase cost of fuel for car and other vehicle. to what ent,2
People nowadays tend to have children in older ages. do the advantages of this outweigh the disadvantages?,2
The best way to solve the world’s environmental problems is to increase the cost of fuel for cars and other vehicles.To ,2
"As housing is a basic need for people, the government should provide free housing for everyone who can’t afford it. To w",2
Some people believe that eventually all jobs will be done by Artificially intelligent robots. What is your opinion?,2
"some people think that museums should be enjoyable places to entertain people, while others believe that purpose of muse",2
More and more people are becoming seriously overweight. Some people think that a solution can be to increase the price o,2
"Interviews form the basic selection criteria for most large companies. However, some people think that an interview is n",2
You should spend about 40 minutes on this task. Write about the following topic: Human activities have negative effects ,2
"Some people believe that it is best to accept a bad situation, such as an unsatisfactory job or shortage of money. Other",2
Overpopulation of urban areas has led to numerous problems. Identify one or two serious ones and suggest ways that gover,2
"Some people think that instead of preventing climate change, we need to find a way to live with it. to what extent do yo",2
:Human activities have negative effects on plant and animal species. Some people think it is too late to do anything abo,2
"To be labelled a â€˜Work of Artâ€™, a painting, sculpture or other art form should display certain qualities that are un",2
"In many countries, people have been moving away from rural areas and towards urban centers, leading to the decline of sm",2
"Some People believe that Robots play an important role in future societies, While other argue that robots might have neg",2
Nowadays many people use social media every day to keep in touch with others and news events. Do you think the advantage,2
"Some people believe that the time spent on television, video and computer games can be valuable for children. Others bel",2
Housing shortages in big cities can cause severe social consequences. Some people think that only government action can ,2
"Some people think Climate Change has negative effects on businesses, others think it creates opportunities. Discuss both",2
"some people think watching TV is bad for children,while others think that watching TV has more beneficial effects on chi",2
Some people believe that eventually all jobs will be done by artificially intelligence robots. What is your opinion? Giv,2
"some people believe that studying at university or college is the best rout to a successful career, while other believe ",2
All fathers should be entitled to time off from work when their children are born. What is your opinion?,2
some people think that museums should be enjoulyable places to entertain people while others believe that the purpose of,2
Some people think increasing the cost of fuel is the best way to solve global environmental problems. To what extent do ,2
Task 2: Some people think news has no connection to people’s lives. So then it is a waste of time to read the newspaper ,2
"Some people believe that there should be fixed punishments for each type of crime. Others, however, argue that the circu",2
"Some people believe that technological advancements have made our lives more convenient, while others argue that these d",2
"In some countries, only few young people go to classical music concerts or or play classical music. Why? Should young pe",2
Some people think news has no connection to people's lives. So then it is a waste of time to read the newspaper and watc,2
"Some people believe that studying at university or college is the best route to a successful career, while other believe",2
Young people often influenced in their behaviors and situations by others in the same age. This is called peer pressure.,2
Newspaper have influenced people's ideas and opinions. What are the reasons for this? Is this a positive or a negative s,2
Education of young people is highly prioritized in many countries. However educating adults who cannot write or read is ,2
Some people believe that climate has the greatest effect on people's way of life. Others believe that the economy of the,2
"In many ciuntries today, parents are able to choose to send their children to single-sex schools or co-educational schoo",2
Nowadays human activities have had negative effects on plants and animal species. Some people think that it is too late ,2
The world has many towns and cities constructed in previous centuries that were suitable and livable for people in those,2
Some people think competitive sport is important for a child’s education. Others think it has negative effects on childr,2
People nowadays tend to have children at older ages. Do the advantages of this outweigh the diaadvantages?,2
"lnterviews form the basic selecting criteria for most large companies. However, some people think that interview is not ",2
"Some people think the primary purpose of schools is to turn the children into good citizens and workers, rather than to ",2
Write about the following topic.Psychologists have known for many years that colour can affect how people feel. For this,2
Nowadays more and more people decide to have children later in their life. What do you think are the reasons for this? D,2
Some people think that purchasing imported agricultural products has a positive effect. Others think consuming domestic ,2
"Some people shay that advertising has positive economic effects, others think is has negative social effects because it ",2
Some parents want their children to read only serious educational books at all times. They don’t want their children to ,2
"Some people believe that technological advancements, such as the Internet, have made it easier for people to acquire inf",2
Write about the following topic.Extreme sports such as sky diving and skiing are very dangerous and should be banned.To ,2
"Many people now undertake extreme activities, from hang-gliding to mountain climbing.Why do people risk their lives in t",2
"Some people believe that studying at University or college is the best route to a successful career, while others believ",2
"In many countries, most shops and products become identical. Some people think it is a positive development, while other",2
some believe that eventually all jobs will be done by arifically intelligence robots. opinion,2
It is important for all cities and towns to build outdoor public spaces like squares and parks. Do you agree or disagree,2
"As well as making money, business also have social responsibilities. To what extent do you agree or disagree with this s",2
"Education for young people is important in many countries. However, some people think that governments should spend more",2
"Some people think that robots are very important to human's future development, while others think they are dangerous an",2
"Some people think the the main purpose of schools is to turn children into good citizens and workers, instead of benefit",2
Restoration of old building in main cities involves enormous government expenditure. It would be more beneficial to spen,2
Some people think that range of technology currently available increasing gap between rich people and poor people . Othe,2
Some people think museums should be enjoyable places to attract and entertain people while others think the purpose of m,2
Some people think that robots are important for humankind's future development. Others think that robots have negative e,2
"NOWADAYS, MORE AND MORE PEOPLE DECIDE TO HAVE CHILDREN IN THEIR OLDER AGE. WHAT ARE THE REASONS? DO THE ADVANTAGES OF TH",2
"Many manufactured food and drink products contain high levels of sugar, which causes many health problems. Sugary produc",2
"With the increased global demand for oil and gas, undiscovered areas of the world should be opened up to access more res",2
Some university students want to learn about other subjects in addition to their main subjects. Others believe it is mor,2
Q; Some people think that one of the best ways to solve environmental problems is to increase the cost of fuels for cars,2
Some people think that one of the best ways to solve enviromental problems is to increase the cost of fuel for cars and ,2
Some people say that public sports facilities improve people's health problems. Others argue that this development has i,2
"Many people argue than in order to improve educational quality, high school students should encouraged to question and o",2
Some people believe that eventually all jobs will be done by artificially intelligent robots. What is your opinion? Robo,2
You should spend about 40 minutes on this task. Write about the following topic Some people believe that eventually all ,2
"Some people think the technology makes life complex, so we should make life simpler without using the technology. Do you",2
"Some people believe that holidays are necessary for students, others think that children should not have holidays becaus",2
"Nowadays, celebrities are more famous for their glamour and wealth than for their achievements, and some people say that",2
Holding international games such as Olympic Games is an exciting event. Some people think that it has positive effects w,2
Some people claim many things that children are taught at school are a waste of time. Other people argue that everything,2
"Nowadays, more and more people want to get things done instantly (services, information, tasks). Why is this? Do you thi",2
"As well as making money, businesses also have social responsibilities. To what extent do you agree or disagree",2
Some people say that the government is responsible for aged care and financial support for the elderly; others argue tha,2
Governments should spend money on railways rather than roads. To what extent do you agree or disagree with this statemen,2
More people decided to have children in their age than in the past. Why? Do advantages of this outweigh disadvantage?,2
In many parts of the world children and teenagers are committing more crimes. Why is this happening? How should children,2
"In some countries, more and more are becoming interested in finding out about the history of the house or building they ",2
Some people think that the governments should increase the cost of fuels for cars and other vehicles in order to solve e,2
Public health is becoming an urgent issue nowadays. Some argue that government should create nutrition and food choice l,2
"5.6. Some people think that robots are very important for humans' future development. Others, however, think that robots",2
"Some people believe that the internet has positive effect , others think that It has negative trends .Discuss both views",2
some people think that government should provide assistance to all kind of artists including painter musician and poets ,2
Companies use major sporting events to promote their products. Some people think it has a negative effect on sport in ge,2
Some people think the main purpose of schools is to turn the children into good citizens and workers rather than to bene,2
"Many university graduates can not find a job in their chosen profession, what factors may have caused this situation and",2
The best way to teach children to cooperate is through team sport at school. To what extent do you agree or disagree ?,2
"money offered for postgraduate research is limited; as a consequence, some people argue that financial support from the ",2
"Many people argue that in order to improve educational equality, high school students are encourage to make comments or ",2
Pollution and other environmental damage are caused by a country developing and becoming richer. This problem cannot be ,2
Some people think competitive sports have positive affects on the education of teenagers while others argue that the eff,2
Some people say that playing video games is bad for children in every aspects. Others saying that playing video game hav,2
The best way for a country to prepare for the future is to invest more resources in its young people. To what extent do ,2
"As well as making money, businesses also have social responsibilities . To what extent do you agree or disagree?",2
Some people believe that eventually all jobs will be done by artificially intelligent robots. What is your opinion.,2
Some people think parents should read or tell stories to children. Others think parents needn't do that as children can ,2
Many customs and traditional ways of behaviour are no longer relevant to modern life and not worth keeping. Do you agree,2
Students leave high school without learning the way how to manage their money. What are the reasons and solutions of thi,2
We are becoming increasingly dependent on computers- based on technology. How do you think it will change in the future?,2
People say that it is a waste of time for high school students to learn literature such as novels and poems. Do you agre,2
Some people think that illegal internet downloads are having a negative effect on the music industry. Others feel that h,2
"All over the world, societies are facing growing problems with obesity. This problem affects children and adults. What a",2
"Some education systems make students focus on certain subjects at the age of 15, while others require students to study ",2
"In many countries, the amount of crime is increasing. What do you think are the main causes of crime? How can we deal wi",2
"Some people think that family has the most powerful influence on a child’s development, while others think that other fa",2
All fathers should be entitled to time-off from work when their children are born. To what extent do you agree or disagr,2
"Studies show that that criminals have a low level of the education for this reason , some people believe that the best w",2
"In some countries, ordinary citizens are allowed to keep a gun in their houses. Some people think this is a good idea, w",2
In some counties more and more people are becoming interested in finding out about the history of the house or the build,2
"Some people say that increasing businesses and cultural contacts between countries is a positive development, while othe",2
"Some people think watching tv is bad for children in every way. Others think TV has positive effects on children, as the",2
Q: SOME PEOPLE BELIEVE THAT EVENTUALLY ALL JOBS WILL BE DONE BY ARTIFICIALLY INTELLIGENT ROBOTS. WHAT IS YOUR OPINION?,2
only 20% of Tech Jobs are Held by Women. What problems do women face that prevent them from getting these jobs and what ,2
"Some people think news has no connection to people’s lives, so it is a waste of time to read the news on the newspaper a",2
it is generally observed that almost all high level jobs are done by men. Does it mean that government should be encoura,2
Some people think that museums should be an enjoyable place to entertain people. While others believe the purpose of the,2
"Task 2: Some people believe that studying at university or college is the best route to a successful career, while other",2
Some people think that robots are important for human future development. Others think that robots have negative effects,2
the threat of nuclear weapons maintain word peace. nuclear power provides cheap and clean energy. the benefits of nuclea,2
Some people believe that reading stories from a book is better than watching TV or playing computer games for children. ,2
"In some countries, celebrities complain about the way the media publicizes their private lives. Some people say that the",2
Some people argue that the best approach to address the increasing global environmental pollution is to increase the pri,2
Some people say free time activities for children should be organized by parents. Others say that children should be fre,2
Some believe that people should make efforts to flight climate change while others think it is better to learn to live w,2
Many people think modern communication technology is having some negative effects on social relationships. To what exten,2
"In some parts of the world, people buy far too many clothes. What are the reasons for this? How can people be persuaded ",2
Write about the following topic.Consumers are faced with increasing numbers of advertisements from competing companies. ,2
"Some people think that student benefits from going to private secondary schools. Others, however, feel that private scho",2
"In some contries, more and more people are becoming interestd in finding out about the history of the house or building ",2
Some people think that robots are very important to human’s future development. Others think that they are dangerous and,2
People nowadays tend to have children at older ages. Do the advantages of this outweigh the disadvantags,2
Some people believe that the goverment should takr care of old people and provide financial support after they retire. O,2
Accommodation and transport problems are increasing in many large cities. Businesses are encouraged to move to rural are,2
More and more people are becoming seriously overweight. Some people say that the price increase of fattening food will s,2
"Some people believe that we should do our best to mitigate the effects of climate change, while others believe that we s",2
Some people believe that teenagers should be required to do unpaid community work in their free time. This can beneficia,2
Some people think that children should learn to paint or draw at school. Others believe it is just a waste of time. Disc,2
Some people think that secondary school children should study international news as one of school subjects. Others peopl,2
"In some countrie, more and more people are becoming interested in finding out about the history of the house or building",2
"Topic: Some people believe that studying at university or college is the best route to a successful career, while others",2
Many countries are spending a huge amount of money on supporting their competitor to take part in some worldwide sports ,2
"Studies shows that many criminals have a low level of education. For this reason, some people believe that the best way ",2
Artificially intelligent robots are increasingly taking human jobs. Some people believe that eventually all work will be,2
"In many different countries, most shops and products become the same. Some people think it is a positive development, wh",2
"Interviews form the basic selection criteria for most longer companies. However, some people think that an interview is ",2
Some people believe that climate has the greatest effect on people’s way of life. Others believe that the economy of the,2
"In some countries ordinary citizens are allowed to keep a gun in their house. Some people think this is a good idea, whi",2
Many people argu that in order to improve educational quality. High school students are encouraged to make comments or e,2
